date,rating,country,employee_status,position_level,function_area,recommender_bin,perspective_commerciale_bin,approbation_pdg_bin,employee_status_label,year
2022-04-19,2.0,Australia,0,,Other,-1,,,Former,2022
2021-12-29,3.0,Pakistan,0,Associate,Consulting–Advisory,1,-1,1,Former,2021
2022-03-29,4.0,Singapore,1,Director,Other,,,,Current,2022
2022-04-12,4.0,Ireland,1,Senior Manager,Tech–IT–Data,,,,Current,2022
2022-04-12,5.0,Malaysia,1,Senior Manager,Other,,,,Current,2022
2022-04-15,4.0,Hong Kong,1,,Other,1,,,Current,2022
2022-01-12,5.0,United States,1,Senior Manager,Tech–IT–Data,1,1,1,Current,2022
2022-04-19,3.0,United Kingdom,1,Manager,Other,,,,Current,2022
2022-03-10,2.0,United States,1,,Tech–IT–Data,,,,Current,2022
2022-04-05,5.0,Indonesia,1,Associate,Audit–Assurance,,,,Current,2022
2021-07-21,3.0,India,0,Senior Associate,Tech–IT–Data,,,1,Former,2021
2022-03-01,5.0,Australia,1,Director,Other,1,1,,Current,2022
2022-02-09,5.0,United States,1,,Support (HR/Ops/Finance),,,,Current,2022
2022-01-23,3.0,Estonia,1,Associate,Deals–Transactions,,0,1,Current,2022
2022-01-31,5.0,United Kingdom,1,Manager,Support (HR/Ops/Finance),1,1,1,Current,2022
2022-04-07,4.0,India,1,Associate,Consulting–Advisory,1,1,1,Current,2022
2022-04-08,2.0,Greece,1,,Other,,,,Current,2022
2022-04-08,4.0,Malaysia,1,Intern,Audit–Assurance,1,,1,Current,2022
2022-04-10,5.0,Philippines,1,Associate,Other,1,1,1,Current,2022
2022-03-27,5.0,Netherlands,1,Associate,Other,1,1,1,Current,2022
2021-11-05,3.0,United Kingdom,0,,Tech–IT–Data,1,1,1,Former,2021
2022-04-11,5.0,United Kingdom,1,Senior Associate,Other,,1,1,Current,2022
2022-04-12,5.0,Singapore,1,Senior Associate,Tax,,,,Current,2022
2022-03-29,3.0,Australia,0,,Other,,,,Former,2022
2022-03-30,4.0,United Kingdom,0,,Other,1,1,,Former,2022
2022-01-26,4.0,New Zealand,0,Associate,Other,1,1,1,Former,2022
2022-04-15,5.0,India,1,Manager,Other,,1,1,Current,2022
2022-04-16,5.0,Ireland,1,Associate,Other,,,,Current,2022
2022-03-21,5.0,Hong Kong,0,,Other,,,,Former,2022
2022-04-18,3.0,Hong Kong,1,Associate,Other,,,,Current,2022
2022-04-05,5.0,Nigeria,1,Associate,Other,1,1,,Current,2022
2022-03-23,5.0,Indonesia,1,Associate,Other,,,,Current,2022
2022-04-07,5.0,South Africa,1,Manager,Other,1,1,1,Current,2022
2022-03-26,5.0,India,1,Senior Associate,Other,1,1,1,Current,2022
2022-03-15,5.0,Philippines,1,Intern,Other,1,1,,Current,2022
2022-04-11,5.0,United Kingdom,1,,Other,,1,1,Current,2022
2022-04-11,5.0,United Kingdom,1,Intern,Other,,1,,Current,2022
2021-11-24,4.0,Kenya,0,Associate,Audit–Assurance,-1,1,-1,Former,2021
2022-04-12,4.0,United States,1,Senior Manager,Other,,,,Current,2022
2022-04-13,5.0,United States,1,,Other,,1,1,Current,2022
2022-03-31,5.0,India,0,,Other,,,,Former,2022
2021-12-04,1.0,Nigeria,1,Manager,Other,,-1,-1,Current,2021
2022-04-02,4.0,Portugal,0,,Other,1,0,0,Former,2022
2022-04-02,4.0,Ireland,1,Associate,Other,1,1,1,Current,2022
2022-04-17,2.0,Malaysia,0,Intern,Other,,,,Former,2022
2022-02-16,2.0,Kenya,0,Senior Associate,Other,,1,1,Former,2022
2022-03-21,5.0,Canada,0,Senior Associate,Other,,,,Former,2022
2022-04-04,4.0,Greece,1,Manager,Deals–Transactions,,,,Current,2022
2022-04-04,5.0,Hong Kong,1,Senior Associate,Other,,1,0,Current,2022
2022-03-14,4.0,United States,1,Associate,Tech–IT–Data,,,,Current,2022
2022-03-15,4.0,United Arab Emirates,1,Senior Associate,Audit–Assurance,,,,Current,2022
2022-04-10,3.0,Italy,1,Intern,Audit–Assurance,,,,Current,2022
2022-03-28,5.0,Indonesia,1,Associate,Other,1,1,1,Current,2022
2022-03-28,5.0,India,0,Associate,Other,1,1,1,Former,2022
2022-04-11,4.0,India,1,Associate,Other,1,1,1,Current,2022
2022-04-11,5.0,United States,1,Associate,Audit–Assurance,,,,Current,2022
2022-04-12,3.0,Australia,1,Associate,Other,,,,Current,2022
2022-04-12,2.0,Hong Kong,1,Associate,Audit–Assurance,-1,-1,-1,Current,2022
2022-04-12,5.0,India,1,,Other,,,,Current,2022
2022-03-29,5.0,New Zealand,1,Associate,Other,,,,Current,2022
2022-03-19,3.0,Hong Kong,0,Senior Associate,Audit–Assurance,,,,Former,2022
2022-04-03,3.0,Israel,1,Associate,Tax,,,,Current,2022
2022-04-03,5.0,Nigeria,1,,Other,1,1,1,Current,2022
2022-04-04,5.0,United States,1,Intern,Audit–Assurance,1,1,0,Current,2022
2022-03-22,4.0,United States,1,,Other,,,1,Current,2022
2022-04-06,5.0,Oman,1,Manager,Tax,,,,Current,2022
2022-04-06,3.0,Australia,1,Manager,Other,,,,Current,2022
2022-03-25,4.0,Israel,1,Manager,Deals–Transactions,,,,Current,2022
2022-03-14,5.0,Russia,1,Director,Other,,,,Current,2022
2022-03-14,5.0,United States,1,Associate,Audit–Assurance,,,,Current,2022
2022-03-03,1.0,India,0,,Other,,0,-1,Former,2022
2022-04-08,4.0,United States,1,Associate,Consulting–Advisory,-1,,-1,Current,2022
2022-04-09,5.0,Other,0,Intern,Other,,,,Former,2022
2022-03-15,5.0,United Arab Emirates,0,Senior Associate,Other,,,,Former,2022
2022-04-13,2.0,India,0,Associate,Other,,,,Former,2022
2022-03-18,2.0,United Kingdom,1,Associate,Audit–Assurance,,-1,,Current,2022
2022-03-31,5.0,India,1,Associate,Other,,1,,Current,2022
2022-03-31,4.0,United Kingdom,1,Associate,Deals–Transactions,,0,,Current,2022
2022-04-15,3.0,United Kingdom,1,Associate,Other,,,,Current,2022
2022-04-01,4.0,New Zealand,0,Associate,Tech–IT–Data,,,,Former,2022
2022-04-02,5.0,Malaysia,0,Senior Associate,Audit–Assurance,,,,Former,2022
2022-03-11,5.0,Russia,1,Manager,Other,-1,-1,1,Current,2022
2022-04-05,4.0,United States,0,Senior Associate,Other,1,1,1,Former,2022
2022-04-05,3.0,Finland,1,Associate,Tax,,,,Current,2022
2022-04-06,5.0,Australia,1,Associate,Other,,,,Current,2022
2022-03-23,5.0,Indonesia,1,Intern,Audit–Assurance,1,,1,Current,2022
2022-03-24,5.0,United States,1,Manager,Consulting–Advisory,1,1,1,Current,2022
2021-07-30,1.0,United Kingdom,0,Associate,Other,-1,1,1,Former,2021
2022-03-13,5.0,United States,0,Partner,Other,1,1,1,Former,2022
2022-03-13,2.0,Colombia,0,Manager,Audit–Assurance,,,,Former,2022
2022-01-22,5.0,Other,0,Intern,Other,1,1,1,Former,2022
2022-04-07,4.0,United Arab Emirates,0,Senior Associate,Other,1,,,Former,2022
2021-12-01,1.0,United Kingdom,0,Associate,Other,-1,0,0,Former,2021
2022-03-16,4.0,United Kingdom,1,Manager,Other,,,,Current,2022
2022-03-31,5.0,United States,1,Associate,Other,,,,Current,2022
2022-04-03,5.0,Singapore,1,Manager,Other,,,,Current,2022
2021-11-29,4.0,Australia,1,Senior Associate,Tech–IT–Data,1,1,,Current,2021
2022-03-14,4.0,Philippines,1,Associate,Risk,1,0,,Current,2022
2022-03-02,3.0,United States,1,Intern,Audit–Assurance,-1,0,0,Current,2022
2022-01-07,3.0,United States,1,Director,Other,1,0,1,Current,2022
2021-11-25,5.0,United Kingdom,1,Senior Manager,Tech–IT–Data,,1,1,Current,2021
2022-03-28,5.0,Singapore,1,Manager,Other,1,1,1,Current,2022
2022-02-13,3.0,India,1,Senior Associate,Other,1,1,1,Current,2022
2022-03-17,3.0,Nigeria,1,Senior Associate,Tech–IT–Data,1,,,Current,2022
2022-03-30,4.0,United States,1,,Other,1,1,1,Current,2022
2022-02-14,3.0,United States,1,,Other,-1,1,1,Current,2022
2022-03-19,5.0,Thailand,1,Associate,Other,1,1,0,Current,2022
2022-04-01,4.0,Australia,1,Associate,Other,1,1,1,Current,2022
2022-03-22,5.0,United States,1,Intern,Audit–Assurance,,,,Current,2022
2022-04-04,5.0,Hong Kong,1,Senior Associate,Tech–IT–Data,1,1,1,Current,2022
2022-04-06,3.0,Other,1,Manager,Consulting–Advisory,,,,Current,2022
2022-03-24,4.0,Hong Kong,0,,Other,,,,Former,2022
2022-03-24,5.0,India,1,Senior Associate,Other,1,1,1,Current,2022
2022-02-18,5.0,Australia,1,Senior Associate,Other,1,1,1,Current,2022
2022-01-07,5.0,Greece,0,Intern,Other,1,,,Former,2022
2022-03-15,2.0,United States,0,Senior Associate,Other,-1,-1,-1,Former,2022
2022-02-22,5.0,India,0,Senior Associate,Audit–Assurance,,1,,Former,2022
2022-04-11,3.0,Pakistan,0,Associate,Other,,,,Former,2022
2022-04-11,4.0,India,0,Senior Associate,Tax,,,,Former,2022
2022-04-13,4.0,United Kingdom,1,Manager,Audit–Assurance,1,1,,Current,2022
2022-04-13,4.0,Hong Kong,0,Associate,Audit–Assurance,,,,Former,2022
2022-04-14,3.0,Hong Kong,1,Intern,Audit–Assurance,,,,Current,2022
2022-04-14,3.0,Oman,1,Senior Associate,Other,,1,1,Current,2022
2022-03-31,5.0,Cyprus,1,Senior Associate,Other,1,1,,Current,2022
